year,series,value
1953,Hot daily lows,0.056
1953,Hot daily highs (smoothed),0.202523438
1953,Hot daily lows (smoothed),0.0843125
1954,Hot daily highs,0.294
1954,Hot daily lows,0.152
1954,Hot daily highs (smoothed),0.185199219
1954,Hot daily lows (smoothed),0.086300781
1955,Hot daily highs,0.088
1955,Hot daily lows,0.081
1955,Hot daily highs (smoothed),0.140019531
1955,Hot daily lows (smoothed),0.071613281
1956,Hot daily highs,0.092
1956,Hot daily lows,0.016
1956,Hot daily highs (smoothed),0.092085938
1956,Hot daily lows (smoothed),0.051488281
1957,Hot daily highs,0.003
1957,Hot daily lows,0.005
1957,Hot daily highs (smoothed),0.063199219
1957,Hot daily lows (smoothed),0.039945313
1958,Hot daily highs,0.05
1958,Hot daily lows,0.077
1958,Hot daily highs (smoothed),0.06121875
1958,Hot daily lows (smoothed),0.039539063
1959,Hot daily highs,0.074
1959,Hot daily lows,0.034
1959,Hot daily highs (smoothed),0.078289063
1959,Hot daily lows (smoothed),0.0450625
1960,Hot daily highs,0.093
1960,Hot daily lows,0.003
1960,Hot daily highs (smoothed),0.094800781
1960,Hot daily lows (smoothed),0.052371094
1961,Hot daily highs,0.209
1961,Hot daily lows,0.152
1961,Hot daily highs (smoothed),0.090972656
1961,Hot daily lows (smoothed),0.056160156
1962,Hot daily highs,0.01
1962,Hot daily lows,0
1962,Hot daily highs (smoothed),0.064597656
1962,Hot daily lows (smoothed),0.05059375
1963,Hot daily highs,0.014
1963,Hot daily lows,0.071
1963,Hot daily highs (smoothed),0.033539063
1963,Hot daily lows (smoothed),0.036664063
1964,Hot daily highs,0.003
1964,Hot daily lows,0.001
1964,Hot daily highs (smoothed),0.015699219
1964,Hot daily lows (smoothed),0.021582031
1965,Hot daily highs,0
1965,Hot daily lows,0
1965,Hot daily highs (smoothed),0.013628906
1965,Hot daily lows (smoothed),0.011664063
1966,Hot daily highs,0.019
1966,Hot daily lows,0.003
1966,Hot daily highs (smoothed),0.018753906
1966,Hot daily lows (smoothed),0.008199219
1967,Hot daily highs,0.056
1967,Hot daily lows,0.022
1967,Hot daily highs (smoothed),0.022523438
1967,Hot daily lows (smoothed),0.008054688
1968,Hot daily highs,0
1968,Hot daily lows,0
1968,Hot daily highs (smoothed),0.023207031
1968,Hot daily lows (smoothed),0.007984375
1969,Hot daily highs,0.008
1969,Hot daily lows,0.006
1969,Hot daily highs (smoothed),0.023242188
1969,Hot daily lows (smoothed),0.007632813
1970,Hot daily highs,0.065
1970,Hot daily lows,0.013
1970,Hot daily highs (smoothed),0.022007813
1970,Hot daily lows (smoothed),0.008363281
1971,Hot daily highs,0
1971,Hot daily lows,0.003
1971,Hot daily highs (smoothed),0.017320313
1971,Hot daily lows (smoothed),0.011414063
1972,Hot daily highs,0.002
1972,Hot daily lows,0.003
1972,Hot daily highs (smoothed),0.011394531
1972,Hot daily lows (smoothed),0.015839844
1973,Hot daily highs,0.014
1973,Hot daily lows,0.058
1973,Hot daily highs (smoothed),0.008871094
1973,Hot daily lows (smoothed),0.017828125
1974,Hot daily highs,0.001
1974,Hot daily lows,0
1974,Hot daily highs (smoothed),0.012011719
1974,Hot daily lows (smoothed),0.01615625
1975,Hot daily highs,0.002
1975,Hot daily lows,0.002
1975,Hot daily highs (smoothed),0.019164063
1975,Hot daily lows (smoothed),0.015839844
1976,Hot daily highs,0.065
1976,Hot daily lows,0.001
1976,Hot daily highs (smoothed),0.025917969
1976,Hot daily lows (smoothed),0.0205
1977,Hot daily highs,0.019
1977,Hot daily lows,0.078
1977,Hot daily highs (smoothed),0.033167969
1977,Hot daily lows (smoothed),0.027453125
1978,Hot daily highs,0.016
1978,Hot daily lows,0.003
1978,Hot daily highs (smoothed),0.051382813
1978,Hot daily lows (smoothed),0.035828125
1979,Hot daily highs,0.002
1979,Hot daily lows,0
1979,Hot daily highs (smoothed),0.08240625
1979,Hot daily lows (smoothed),0.047980469
1980,Hot daily highs,0.303
1980,Hot daily lows,0.147
1980,Hot daily highs (smoothed),0.105519531
1980,Hot daily lows (smoothed),0.060105469
1981,Hot daily highs,0.067
1981,Hot daily lows,0.054
1981,Hot daily highs (smoothed),0.102976563
1981,Hot daily lows (smoothed),0.066
1982,Hot daily highs,0.001
1982,Hot daily lows,0.002
1982,Hot daily highs (smoothed),0.084167969
1982,Hot daily lows (smoothed),0.065972656
1983,Hot daily highs,0.154
1983,Hot daily lows,0.161
1983,Hot daily highs (smoothed),0.065449219
1983,Hot daily lows (smoothed),0.060261719
1984,Hot daily highs,0.014
1984,Hot daily lows,0.02
1984,Hot daily highs (smoothed),0.050992188
1984,Hot daily lows (smoothed),0.047921875
1985,Hot daily highs,0.021
1985,Hot daily lows,0.002
1985,Hot daily highs (smoothed),0.047203125
1985,Hot daily lows (smoothed),0.038488281
1986,Hot daily highs,0.025
1986,Hot daily lows,0.014
1986,Hot daily highs (smoothed),0.065863281
1986,Hot daily lows (smoothed),0.044640625
1987,Hot daily highs,0.045
1987,Hot daily lows,0.069
1987,Hot daily highs (smoothed),0.09846875
1987,Hot daily lows (smoothed),0.061007813
1988,Hot daily highs,0.347
1988,Hot daily lows,0.161
1988,Hot daily highs (smoothed),0.112710938
