state,lat,long,value
ID,47.6822,-116.7967,-16.58340005
ID,46.5022,-116.3217,0
ID,46.1,-115.5447,-13.10275759
ID,42.9403,-115.3231,-10.8955721
ID,42.5631,-111.7594,0
ID,42.5972,-114.1378,0
ID,42.3528,-114.5739,-11.62550787
ID,42.7325,-114.5192,-10.71240868
ID,47.5333,-116.1333,-9.938906887
ID,42.1231,-111.3133,0
ID,43.9178,-113.6153,-8.098414199
ID,44.5664,-113.8953,0
ID,46.7281,-116.9558,0
ID,44.9714,-116.2933,-6.648594765
ID,42.2339,-113.8925,-9.174025974
ID,44.0764,-116.9311,-12.88851172
ID,48.9994,-116.4992,-15.63124694
ID,48.3511,-116.8353,-10.72207792
ID,48.2942,-116.5628,-11.97593365
IL,41.1978,-90.7447,0
IL,37.5222,-89.2486,0
IL,41.7803,-88.3092,-7.620779221
IL,39.2881,-89.8697,0
IL,39.4761,-88.1653,-6.230136986
IL,40.1392,-87.6478,0
IL,39.8289,-88.9506,0
IL,41.835,-89.5136,0
IL,37.9878,-89.1931,0
IL,41.1739,-90.035,0
IL,37.7408,-88.5244,0
IL,39.1611,-89.4919,-8.223376623
IL,40.4664,-87.685,0
IL,39.7347,-90.1978,0
IL,40.5839,-90.9686,0
IL,40.1519,-89.3386,0
IL,42.2636,-88.6078,0
IL,40.9125,-89.0339,0
IL,40.9442,-90.6381,0
IL,41.7944,-89.9681,0
IL,42.0981,-89.9842,0
IL,38.3619,-88.8597,0
IL,38.7006,-88.0819,0
IL,41.3281,-88.9097,0
IL,38.9994,-87.6139,0
IL,39.3686,-89.0867,0
IL,39.6186,-87.6672,0
IL,40.8778,-88.6364,0
IL,40.1275,-90.5592,0
IL,38.1167,-89.7167,0
IL,40.0842,-88.2403,0
IL,41.5603,-89.6025,0
IL,39.4408,-90.3789,0
IL,39.4458,-88.5961,0
IN,40.1117,-85.7164,-8.181325435
IN,41.6639,-85.0183,0
IN,40.6683,-84.93,0
IN,39.1739,-86.5208,0
IN,39.4239,-85.0144,-12.6955688
IN,39.1661,-85.9228,-10.44883117
IN,40.615,-86.6661,0
IN,41.5575,-85.8825,-6.253506494
IN,39.6439,-86.8767,0
IN,39.7858,-85.7611,0
IN,41.6117,-86.7297,-7.202077922
IN,38.7369,-85.3942,0
IN,40.58,-85.6586,-11.42649351
IN,37.9286,-87.8956,-10.62297963
IN,38.8878,-86.5519,0
IN,38.5556,-86.4858,-10.11280468
IN,38.3567,-87.5906,0
IN,41.0664,-86.2097,-11.73506494
IN,39.7594,-87.2269,0
IN,39.6042,-85.4533,-12.12403651
IN,38.6886,-85.785,0
IN,38.9542,-85.9044,-15.09730962
IN,38.5528,-86.7944,-7.367272727
IN,38.6489,-87.1989,0
IN,39.9961,-86.3542,-8.469720241
IN,41.0267,-86.5867,0
IA,41.0656,-92.7867,0
IA,43.0664,-94.2222,0
IA,41.8814,-92.2764,0
IA,43.0603,-92.6717,0
IA,40.7244,-95.0192,0
IA,41.7947,-90.2639,-6.555844156
IA,43.4036,-94.7472,0
IA,41.0211,-91.9553,-6.81038961
IA,42.8825,-91.8303,0
IA,43.2844,-93.6306,0
IA,42.5836,-94.2006,0
IA,41.3664,-93.6481,0
IA,42.5189,-93.2536,0
IA,42.7817,-96.1458,0
IA,41.65,-95.8061,0
IA,40.7053,-94.2428,0
IA,40.9486,-91.5647,0
IA,43.0453,-92.3122,0
IA,43.43,-96.1686,0
IA,42.3969,-94.6292,0
IA,42.6469,-95.1933,-11.82441558
IA,42.0356,-92.5806,0
IA,41.2825,-91.7078,0
KS,37.1942,-99.7633,0
KS,39.5756,-95.1108,-8.246682279
KS,37.2733,-99.3289,-11.31220779
KS,37.1681,-94.83,0
KS,38.6758,-96.5097,-10.55215338
KS,37.8183,-96.8444,0
KS,38.7297,-98.225,-6.294940956
KS,37.8172,-94.6986,0
KS,38.8586,-99.3358,-10.26285714
KS,39.6678,-95.52,-8.121558442
KS,37.2364,-95.7003,0
KS,37.9411,-101.2492,-12.05090909
KS,38.1817,-99.0994,0
KS,38.9583,-95.2514,0
