year,series,value
1953,9-pt High,4.1015625E-2
1953,Cold Lows,1E-3
1953,9-pt Low,4.20546875E-2
1954,Cold Highs,0
1954,9-pt High,3.8847656249999994E-2
1954,Cold Lows,4.0000000000000001E-3
1954,9-pt Low,5.1429687500000001E-2
1955,Cold Highs,9.9000000000000005E-2
1955,9-pt High,4.3503906250000009E-2
1955,Cold Lows,0.17699999999999999
1955,9-pt Low,6.4582031250000005E-2
1956,Cold Highs,0.04
1956,9-pt High,4.8769531250000005E-2
1956,Cold Lows,3.2000000000000001E-2
1956,9-pt Low,7.0136718749999993E-2
1957,Cold Highs,6.9999999999999993E-3
1957,9-pt High,5.5750000000000001E-2
1957,Cold Lows,2.6000000000000002E-2
1957,9-pt Low,7.4921874999999999E-2
1958,Cold Highs,0.10400000000000001
1958,9-pt High,6.5539062499999981E-2
1958,Cold Lows,0.10099999999999999
1958,9-pt Low,8.4164062500000011E-2
1959,Cold Highs,8.199999999999999E-2
1959,9-pt High,7.322265624999999E-2
1959,Cold Lows,0.16700000000000001
1959,9-pt Low,8.9902343750000002E-2
1960,Cold Highs,7.400000000000001E-2
1960,9-pt High,7.9148437500000002E-2
1960,Cold Lows,1.8000000000000002E-2
1960,9-pt Low,9.3539062500000006E-2
1961,Cold Highs,5.7999999999999996E-2
1961,9-pt High,9.5472656249999996E-2
1961,Cold Lows,0.10300000000000001
1961,9-pt Low,0.11907031250000001
1962,Cold Highs,6.6000000000000003E-2
1962,9-pt High,0.12714453125000003
1962,Cold Lows,2.4E-2
1962,9-pt Low,0.17908984375000001
1963,Cold Highs,0.27
1963,9-pt High,0.15387109375000002
1963,Cold Lows,0.42399999999999999
1963,9-pt Low,0.23702734374999998
1964,Cold Highs,0.22600000000000001
1964,9-pt High,0.14944921875000003
1964,Cold Lows,0.434
1964,9-pt Low,0.23679687499999996
1965,Cold Highs,3.7999999999999999E-2
1965,9-pt High,0.11637890624999998
1965,Cold Lows,6.6000000000000003E-2
1965,9-pt Low,0.17366015625
1966,Cold Highs,9.6999999999999989E-2
1966,9-pt High,8.498046875000001E-2
1966,Cold Lows,3.4000000000000002E-2
1966,9-pt Low,0.10095312499999998
1967,Cold Highs,1E-3
1967,9-pt High,8.1414062499999995E-2
1967,Cold Lows,3.6000000000000004E-2
1967,9-pt Low,6.5742187499999993E-2
1968,Cold Highs,8.1000000000000003E-2
1968,9-pt High,0.10363671875
1968,Cold Lows,4.5999999999999999E-2
1968,9-pt Low,7.008203125000001E-2
1969,Cold Highs,0.223
1969,9-pt High,0.12403906250000001
1969,Cold Lows,8.5999999999999993E-2
1969,9-pt Low,8.742187500000001E-2
