"Figure 3. Change in Unusually Hot Temperatures in the Contiguous 48 States, 1948-2023",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2024",,,
Web update: June 2024,,,
Units: Change in number of days hotter than 95th percentile,,,
,,,
State,Lat,Long,Change in 95 percent Days
PA,40.3372,-76.4617,0
PA,41.8511,-75.8583,0
PA,41.0172,-80.3614,11.19737307
PA,41.7394,-75.4464,0
PA,41.4197,-78.7492,-9.714285714
PA,40.7831,-76.8617,0
PA,40.7933,-77.8672,0
PA,41.0147,-75.2072,0
PA,41.7511,-76.4431,0
PA,39.915,-79.7192,0
PA,41.8467,-79.1494,-7.678961039
PA,41.7003,-77.3872,0
PA,39.9708,-75.635,0
PA,39.9167,-76.75,0
RI,41.4903,-71.5431,24.97766234
SC,33.4925,-81.6958,22.8
SC,34.5283,-82.6608,0
SC,34.0906,-82.5883,0
SC,34.7028,-79.8822,-18.64207792
SC,34.6603,-82.8233,0
SC,33.9917,-81.0247,30.75324675
SC,33.8314,-79.0558,-9.544736212
SC,34.3011,-79.8767,0
SC,33.3619,-79.2239,0
SC,34.1997,-82.1711,0
SC,34.4989,-82.0219,0
SC,34.1994,-81.4144,-22.81454545
SC,34.2917,-81.6208,0
SC,33.4889,-80.8742,0
SC,33.9919,-81.7714,0
SC,34.635,-81.5206,0
SC,33.0367,-80.2325,0
SC,33.935,-80.3478,-12.75844156
SC,34.7544,-83.075,0
SC,34.3706,-81.0825,0
SC,34.9378,-81.0375,0
SC,32.7019,-80.8517,0
SD,43.4894,-99.0628,-11.10857143
SD,43.6514,-97.7981,0
SD,43.3111,-96.5878,-23.58392198
SD,44.8817,-97.7325,-15.1547619
SD,43.9611,-101.8606,0
SD,45.0469,-101.6022,0
SD,45.7656,-99.6222,-11.7838961
SD,45.0325,-99.1225,-11.53246753
SD,44.0683,-98.0833,0
SD,44.0569,-99.0719,0
SD,44.5139,-99.4422,-9.378701299
SD,43.4378,-103.4739,0
SD,44.0122,-97.5317,-16.25246753
SD,43.9025,-99.8581,0
SD,45.155,-98.5825,-20.12315347
SD,43.2358,-97.5714,-10.71272727
SD,45.2836,-96.6689,-12.0558158
SD,43.8878,-100.7075,-7.529350649
SD,44.1206,-103.2842,-10.22702703
SD,42.7625,-96.9194,-9.862388006
SD,43.4989,-100.4814,-14.73967733
TN,36.5472,-87.3353,0
TN,34.9939,-84.3758,-25.56025845
TN,35.5497,-89.7,-14.73869886
TN,36.0147,-85.1314,0
TN,36.075,-87.3958,-31.76103896
TN,36.4819,-87.8628,-21.07220779
TN,35.6214,-88.8456,0
TN,35.4139,-86.8086,17.31428571
TN,35.6722,-85.7811,0
TN,35.9203,-86.3728,0
TN,35.9833,-83.2008,-20.31168831
TN,36.4161,-82.9839,-21.44311688
TN,35.3453,-86.2089,-10.37402597
TN,36.3925,-89.0317,-12.15168831
TN,35.3042,-87.7592,-12.37506494
TX,32.7047,-99.3011,-17.58753247
TX,30.3764,-103.66,26.97397995
TX,31.7414,-99.9764,0
TX,30.9839,-103.7408,-14.15835438
TX,28.4575,-97.7061,0
TX,30.095,-98.4142,-15.92829816
TX,29.7986,-98.7353,13.76207792
TX,30.1592,-96.3972,-19.18545455
TX,31.7228,-99.0142,18.3426877
TX,33.6164,-95.0717,0
TX,32.1225,-96.4867,0
TX,33.6608,-101.2778,0
TX,29.0567,-96.2319,0
TX,32.0628,-98.3047,0
TX,28.7569,-100.4792,-16.90483747
TX,27.9775,-99.3847,-14.38836669
TX,27.1353,-98.1203,-13.85834713
TX,29.6339,-97.0644,0
TX,30.9072,-102.9153,10.1915067
TX,33.1678,-96.0983,0
TX,29.4706,-96.9397,0
TX,33.1644,-99.7389,0
TX,31.0717,-98.1847,-16.41905594
TX,30.0592,-94.795,-14.6949278
TX,30.7425,-98.6542,0
TX,29.6756,-97.6578,20.86545455
TX,32.4892,-94.3289,0
TX,31.1331,-102.2217,9.598602864
TX,35.6936,-100.6392,0
TX,34.2192,-102.7328,0
TX,29.6597,-98.1636,-36.76612274
TX,33.6744,-95.5586,0
TX,34.1892,-101.7022,0
TX,34.2761,-99.7578,-19.63136365
TX,26.3769,-98.8117,0
TX,32.7131,-102.6597,0
TX,32.71,-100.9111,0
TX,36.4414,-102.0775,0
TX,32.7483,-97.77,-19.05662338
UT,37.4403,-112.4819,22.84675325
UT,37.6133,-109.4847,11.72936269
UT,37.2825,-109.5575,7.399480519
UT,39.2875,-112.6514,25.56883117
UT,40.1703,-110.3978,0
UT,37.7686,-111.5978,38.9532758
UT,38.9603,-112.3239,0
UT,40.2842,-109.8611,21.2425974
UT,38.9906,-110.1544,0
UT,40.4917,-111.4261,26.89562937
UT,37.0286,-112.5361,9.918961039
UT,41.8253,-111.3206,-9.265454545
UT,39.5608,-111.8653,0
UT,41.7456,-111.8033,17.33402597
UT,39.2583,-111.6308,0
UT,38.4492,-112.2239,0
UT,38.5744,-109.5458,0
UT,41.0367,-111.6711,19.85800603
UT,39.7119,-111.8319,-16.56935065
UT,41.2439,-111.9467,0
UT,37.8247,-112.4308,17.93813265
UT,37.8831,-112.7711,22.52364251
UT,38.7617,-112.0778,11.94181818
UT,37.1189,-113.6067,11.13328515
UT,39.2453,-112.1067,21.72364676
UT,40.5453,-111.5042,29.036526
UT,40.08,-111.6047,9.048311688
UT,40.5353,-112.3217,43.92727273
UT,40.3603,-111.8972,19.63429695
UT,40.44,-109.5356,0
UT,41.5147,-111.1594,22.4238961
UT,37.2092,-112.9814,13.13766234
VT,43.3847,-72.5989,0
VT,43.9572,-73.2106,0
VT,44.9094,-72.8083,0
VT,44.42,-72.0194,-8.051948052
VA,37.2039,-80.4144,0
VA,37.0908,-81.3364,0
VA,38.0328,-78.5225,0
VA,38.4547,-78.9353,0
VA,36.5628,-79.3633,0
VA,37.2861,-78.4053,0
VA,37.2992,-77.2775,0
VA,37.9994,-79.8322,0
VA,37.7767,-79.4386,0
VA,39.1422,-77.7094,-9.885714286
VA,36.7586,-83.0106,0
VA,38.2253,-78.1189,0
VA,36.9769,-79.8961,0
VA,38.1814,-79.0903,-11.87636364
VA,37.3017,-76.7039,0
VA,38.9031,-78.4792,-13.10767864
WA,46.9658,-123.8292,-8.644324324
WA,48.9947,-122.7619,0
WA,47.1694,-122.0036,10.15769231
WA,47.4144,-121.7561,-8.163116883
WA,46.72,-122.9528,0
WA,48.9672,-122.3292,8.525714286
WA,47.1889,-120.9131,0
WA,48.5558,-119.7492,8.749024603
WA,47.6636,-118.1614,0
WA,46.3153,-118.0022,0
WA,46.9692,-120.54,9.042078558
WA,47.9753,-122.195,16.17246753
WA,47.9558,-124.3539,9.014025974
WA,46.2111,-119.1011,11.43584416
WA,46.1372,-122.9781,14.46089795
WA,47.1356,-122.2561,0
WA,48.8994,-117.8289,-7.979432854
WA,47.3331,-118.6961,0
WA,48.6117,-122.8064,16.42020079
WA,46.4672,-117.5883,-7.375651167
WA,48.1139,-123.4317,0
WA,48.1161,-122.7586,0
WA,46.7603,-117.1861,15.14599452
WA,47.1175,-118.3714,0
WA,47.0933,-117.5878,0
WA,48.4958,-122.2355,0
WA,47.5414,-121.8361,0
WA,48.3508,-120.7264,17.40489723
WA,46.3236,-120.0103,0
WA,45.6775,-122.6514,6.393766234
WA,47.6497,-120.08,0
WA,47.4289,-120.31,12.20155844
WA,47.7681,-118.7239,8.522597403
WA,48.4742,-120.1886,0
WV,38.9803,-80.22,0
WV,38.9339,-80.8317,0
WV,37.8567,-80.4042,0
WV,39.0736,-79.6339,0
WV,37.5742,-81.5356,-36.6838144
WV,38.8008,-81.3583,0
WV,38.5278,-81.9153,0
WI,46.5831,-90.9678,0
WI,42.6181,-89.3867,-7.405714286
WI,42.6783,-90.1061,0
WI,43.7953,-88.4533,-18.34805195
WI,44.1186,-89.5358,-10.63792208
WI,42.8278,-90.7889,-17.49402597
WI,44.0869,-87.6522,-9.15012987
WI,44.6411,-90.1333,0
WI,45.1308,-90.3439,0
WI,43.0722,-88.0294,0
WI,45.8864,-89.7322,-8.033246753
WI,44.5378,-90.535,-9.516883117
WI,44.3586,-88.7189,-14.23176705
WI,44.8919,-87.955,-12.27636364
WI,44.0206,-88.5578,0
WI,43.5306,-89.4369,-8.03012987
WI,43.0514,-91.135,-20.86857143
WI,42.7028,-87.7858,-20.75970135
WI,45.8236,-91.8761,-7.998961039
WI,44.9528,-90.9269,-12.23444253
WI,43.5594,-90.8761,-17.27376623
WI,43.1742,-88.7364,-18.95896104
WY,43.7728,-111.0339,0
WY,44.3797,-108.035,7.297297297
WY,41.7594,-104.8222,0
WY,44.5022,-109.1111,0
WY,44.8694,-104.1553,0
WY,43.2281,-108.9492,0
WY,43.5397,-109.6553,0
WY,41.2625,-110.9456,0
WY,41.5167,-109.4703,13.43133167
WY,44.5622,-110.3986,13.73485952
WY,43.4131,-106.2772,-14.36339028
WY,43.8567,-110.5889,13.33194805
WY,43.8497,-104.1886,12.71896104
WY,43.2458,-108.6942,10.70054054
WY,42.875,-109.8622,0
WY,43.0306,-108.3744,0
WY,41.4528,-106.8053,0
WY,44.8406,-106.8383,0
WY,42.0803,-104.2236,0
WY,42.1106,-104.9492,0
WY,44.0114,-107.9683,21.62077922
WY,44.9767,-110.6964,15.52727273
GA,32.1314,-81.2022,9.081558442
SC,34.8833,-82.2197,20.62168165
OK,36.7664,-96.0131,0
NY,42.1997,-75.9847,0
FL,26.585,-81.8614,22.72103896
FL,24.5569,-81.7553,0
TX,29.5442,-98.4839,24.15168831
TX,27.7839,-97.5114,29.59376623
LA,29.9167,-90.1303,34.11811461
NJ,39.3778,-74.4236,0
WV,39.4039,-77.975,0
VA,36.9036,-76.1928,6.457142857
SC,32.775,-79.9239,-7.963636364
AL,34.7439,-87.5997,0
FL,30.4761,-87.1858,9.766233766
LA,30.5378,-91.1469,14.11220779
LA,30.1986,-91.9894,0
KS,37.155,-98.0283,-10.05571957
NY,42.9489,-78.7367,0
NY,42.7472,-73.7992,0
PA,40.6497,-75.4478,0
VT,44.4683,-73.15,9.745454545
NY,44.5772,-75.1097,-8.479792788
NY,41.6258,-73.8817,6.942245924
ME,43.6425,-70.3045,0
RI,41.7225,-71.4325,11.65194805
NY,43.1172,-77.6753,0
NY,43.1111,-76.1039,0
PA,41.2431,-76.9217,0
MI,42.6083,-82.8183,0
PA,42.0803,-80.1822,0
MN,44.8853,-93.2314,0
ND,48.9711,-97.2417,-11.75792208
SD,45.4558,-98.4133,-8.437402597
SD,44.9044,-97.1494,-7.805714286
NM,33.3072,-104.5081,28.55282387
TX,31.8122,-106.3775,23.20415584
NM,36.4483,-103.1536,25.03765194
UT,38.3706,-110.7153,23.53994024
CA,34.7678,-114.6183,20.91532468
NV,39.5078,-119.7683,24.35324675
WY,41.1519,-104.8061,17.8825974
WY,41.3164,-105.6728,16.07688312
SD,44.3819,-100.2864,0
WY,41.5947,-109.0528,19.62425526
MT,46.4264,-105.8833,0
NV,40.6117,-116.8917,31.56324324
NV,40.8239,-115.7864,17.28623377
NV,40.9017,-117.8081,18.43844156
OR,44.8431,-117.81,11.83896104
MT,48.6036,-112.3767,12.84051948
MT,47.4733,-111.3828,12.38233766
MT,46.6044,-111.9892,23.41924238
ID,46.3744,-117.0153,13.61142857
ID,42.1492,-112.2872,0
WA,47.6217,-117.5281,8.754285714
WA,46.0944,-118.2858,0
UT,40.7206,-114.0358,0
CA,40.8097,-124.1603,22.77714286
OR,43.4133,-124.2436,15.08987013
OR,44.6431,-124.0556,0
CA,36.78,-119.7203,16.6212987
NC,35.2325,-75.6222,23.64195067
FL,30.3975,-84.3289,31.05350649
AL,33.2122,-87.6156,0
KY,36.9647,-86.4239,0
OK,34.9892,-99.0528,0
MT,48.2064,-106.6247,0
OR,46.1569,-123.8833,5.359758551
NY,40.7789,-73.9692,0
MN,46.8997,-95.0669,0
,,,
OR,43.4133,-124.2436,15.07441688
OR,44.6431,-124.0556,0
CA,36.78,-119.7194,12.65309145
NC,35.2325,-75.6219,23.03406593
FL,30.3975,-84.3289,31.31951129
AL,33.2119,-87.6161,0
KY,36.9647,-86.4239,0
OK,34.9894,-99.0525,0
MT,48.2138,-106.6213,0
OR,46.1569,-123.8825,0
NY,40.7789,-73.9692,0
NY,43.145,-75.3839,0
MN,46.9006,-95.0678,0
